flowcell	lane	barcode	individual
FC0A03F00	L007	A	SM63346
FC0A03F00	L007	B	SM98964
FC0A03F00	L007	C	SM26692
FC0A03F12	L002	G	SM00242
FC0A03F12	L002	H	SM91619
FC0A03F12	L002	I	SM58863
FC0A03F06	L003	G	SM01020
FC0A03F06	L003	H	SM28670
FC0A03F06	L003	I	SM39133
FC0A03F0F	L003	G	SM82434
FC0A03F0F	L003	H	SM39474
FC0A03F0F	L003	I	SM71462
FC0A03F03	L001	J	SM55602
FC0A03F03	L001	K	SM92576
FC0A03F03	L001	L	SM98482
FC0A03F03	L002	G	SM12132
FC0A03F03	L002	H	SM88891
FC0A03F03	L002	I	SM65232
FC0A03F0F	L007	J	SM71270
FC0A03F0F	L007	K	SM99877
FC0A03F0F	L007	L	SM53125
FC0A03F0F	L005	G	SM82847
FC0A03F0F	L005	H	SM02834
FC0A03F0F	L005	I	SM15838
FC0A03F00	L001	G	SM87621
FC0A03F00	L001	H	SM05315
FC0A03F00	L001	I	SM00034
FC0A03F09	L005	D	SM52223
FC0A03F09	L005	E	SM68958
FC0A03F09	L005	F	SM76234
FC0A03F03	L005	G	SM58273
FC0B03F00	L008	G	SM58273
FC0A03F03	L005	H	SM13374
FC0B03F00	L008	H	SM13374
FC0A03F03	L005	I	SM97852
FC0B03F00	L008	I	SM97852
FC0A03F0F	L007	D	SM46377
FC0A03F0F	L007	E	SM37146
FC0A03F0F	L007	F	SM98989
FC0A03F00	L008	G	SM78042
FC0A03F00	L008	H	SM11176
FC0A03F00	L008	I	SM04647
FC0A03F00	L001	D	SM34405
FC0A03F00	L001	E	SM40057
FC0A03F00	L001	F	SM69946
FC0A03F0C	L008	A	SM15491
FC0B03F03	L002	A	SM15491
FC0A03F0C	L008	B	SM69493
FC0B03F03	L002	B	SM69493
FC0A03F0C	L008	C	SM32644
FC0B03F03	L002	C	SM32644
FC0A03F0F	L006	A	SM08926
FC0A03F0F	L006	B	SM54373
FC0A03F0F	L006	C	SM37971
FC0A03F03	L007	G	SM68136
FC0A03F03	L007	H	SM17619
FC0A03F03	L007	I	SM75233
FC0A03F0C	L004	G	SM69649
FC0A03F0C	L004	H	SM13803
FC0A03F0C	L004	I	SM53845
FC0A03F09	L004	D	SM97181
FC0A03F09	L004	E	SM36519
FC0A03F09	L004	F	SM38307
FC0A03F06	L004	A	SM48734
FC0B03F00	L004	A	SM48734
FC0C03F00	L002	A	SM48734
FC0A03F06	L004	B	SM74480
FC0B03F00	L004	B	SM74480
FC0C03F00	L002	B	SM74480
FC0A03F06	L004	C	SM82420
FC0B03F00	L004	C	SM82420
FC0C03F00	L002	C	SM82420
FC0A03F09	L003	J	SM20588
FC0A03F09	L003	K	SM16161
FC0A03F09	L003	L	SM91362
FC0A03F0F	L005	J	SM49995
FC0A03F0F	L005	K	SM52589
FC0A03F0F	L005	L	SM77472
FC0A03F09	L001	J	SM18289
FC0A03F09	L001	K	SM73350
FC0A03F09	L001	L	SM87590
FC0A03F00	L004	J	SM46408
FC0B03F00	L006	J	SM46408
FC0C03F00	L002	J	SM46408
FC0A03F00	L004	K	SM82853
FC0B03F00	L006	K	SM82853
FC0C03F00	L002	K	SM82853
FC0A03F00	L004	L	SM61954
FC0B03F00	L006	L	SM61954
FC0C03F00	L002	L	SM61954
FC0A03F00	L007	J	SM28576
FC0A03F00	L007	K	SM62485
FC0A03F00	L007	L	SM64076
FC0A03F0C	L002	J	SM64582
FC0A03F0C	L002	K	SM85467
FC0A03F0C	L002	L	SM07894
FC0A03F0C	L006	G	SM39346
FC0B03F00	L005	G	SM39346
FC0A03F0C	L006	H	SM18719
FC0B03F00	L005	H	SM18719
FC0A03F0C	L006	I	SM97677
FC0B03F00	L005	I	SM97677
FC0A03F09	L007	D	SM06869
FC0A03F09	L007	E	SM81415
FC0A03F09	L007	F	SM28275
FC0A03F00	L006	G	SM46584
FC0A03F00	L006	H	SM61805
FC0A03F00	L006	I	SM51245
FC0A03F03	L001	D	SM69053
FC0A03F03	L001	E	SM08711
FC0A03F03	L001	F	SM90033
FC0A03F06	L007	J	SM89955
FC0A03F06	L007	K	SM97250
FC0A03F06	L007	L	SM87689
FC0A03F03	L003	J	SM00842
FC0A03F03	L003	K	SM47354
FC0A03F03	L003	L	SM05398
FC0A03F00	L008	J	SM81380
FC0A03F00	L008	K	SM00491
FC0A03F00	L008	L	SM35433
FC0A03F0F	L008	G	SM95303
FC0A03F0F	L008	H	SM29713
FC0A03F0F	L008	I	SM18440
FC0A03F0C	L004	J	SM25062
FC0A03F0C	L004	K	SM13823
FC0A03F0C	L004	L	SM56888
FC0A03F09	L002	G	SM93893
FC0A03F09	L002	H	SM43280
FC0A03F09	L002	I	SM50349
FC0A03F06	L006	D	SM43345
FC0B03F00	L005	D	SM43345
FC0A03F06	L006	E	SM55275
FC0B03F00	L005	E	SM55275
FC0A03F06	L006	F	SM84936
FC0B03F00	L005	F	SM84936
FC0A03F0C	L003	G	SM19402
FC0A03F0C	L003	H	SM58628
FC0A03F0C	L003	I	SM92908
FC0A03F00	L003	J	SM68703
FC0A03F00	L003	K	SM41429
FC0A03F00	L003	L	SM16938
FC0A03F06	L001	J	SM24488
FC0A03F06	L001	K	SM58213
FC0A03F06	L001	L	SM45767
FC0A03F0C	L005	J	SM56006
FC0A03F0C	L005	K	SM64482
FC0A03F0C	L005	L	SM51058
FC0A03F06	L008	A	SM25716
FC0A03F06	L008	B	SM57577
FC0A03F06	L008	C	SM26774
FC0A03F06	L008	G	SM50902
FC0A03F06	L008	H	SM04362
FC0A03F06	L008	I	SM30675
FC0A03F0F	L008	D	SM24479
FC0A03F0F	L008	E	SM47660
FC0A03F0F	L008	F	SM07470
